/opt/pytorch/lib64/python3.13/site-packages/torch/cuda/__init__.py:61: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  import pynvml  # type: ignore[import]
dataset: 7,750 batches/epoch | 31,744,000 samples | d_in=1280 | shard_buffer=2
SAE: d_in=1280  num_latents=20480  k=32
Epoch 0 | Step 0 | mse 3.21911 | aux 0.00000 | L0 32.0 | dead 0/20480 | fvu 1.1635
Epoch 0 | Step 100 | mse 1.44300 | aux 0.00000 | L0 32.0 | dead 0/20480 | fvu 0.5112
Epoch 0 | Step 200 | mse 1.06818 | aux 0.00000 | L0 32.0 | dead 0/20480 | fvu 0.3825
Epoch 0 | Step 300 | mse 0.93342 | aux 0.00000 | L0 32.0 | dead 0/20480 | fvu 0.3220
Epoch 0 | Step 400 | mse 1.07381 | aux 0.00000 | L0 32.0 | dead 0/20480 | fvu 0.3804
Epoch 0 | Step 500 | mse 0.89180 | aux 0.00000 | L0 32.0 | dead 0/20480 | fvu 0.3154
Epoch 0 | Step 600 | mse 0.82711 | aux 0.00000 | L0 32.0 | dead 0/20480 | fvu 0.2923
Epoch 0 | Step 700 | mse 0.77370 | aux 0.00000 | L0 32.0 | dead 0/20480 | fvu 0.2808
Epoch 0 | Step 800 | mse 0.93174 | aux 0.00000 | L0 32.0 | dead 0/20480 | fvu 0.3336
Epoch 0 | Step 900 | mse 0.80712 | aux 0.00000 | L0 32.0 | dead 0/20480 | fvu 0.2883
Epoch 0 | Step 1000 | mse 0.75502 | aux 0.00000 | L0 32.0 | dead 0/20480 | fvu 0.2794
Epoch 0 | Step 1100 | mse 0.71933 | aux 0.00000 | L0 32.0 | dead 0/20480 | fvu 0.2627
Epoch 0 | Step 1200 | mse 0.83427 | aux 0.00000 | L0 32.0 | dead 0/20480 | fvu 0.2940
Epoch 0 | Step 1300 | mse 0.74947 | aux 0.00000 | L0 32.0 | dead 0/20480 | fvu 0.2606
Epoch 0 | Step 1400 | mse 0.69860 | aux 0.00000 | L0 32.0 | dead 0/20480 | fvu 0.2548
Epoch 0 | Step 1500 | mse 0.67626 | aux 0.00000 | L0 32.0 | dead 0/20480 | fvu 0.2440
Epoch 0 | Step 1600 | mse 0.81682 | aux 0.00000 | L0 32.0 | dead 0/20480 | fvu 0.2880
Epoch 0 | Step 1700 | mse 0.73791 | aux 0.00000 | L0 32.0 | dead 0/20480 | fvu 0.2587
Epoch 0 | Step 1800 | mse 0.70163 | aux 0.00000 | L0 32.0 | dead 0/20480 | fvu 0.2378
Epoch 0 | Step 1900 | mse 0.67211 | aux 0.00000 | L0 32.0 | dead 0/20480 | fvu 0.2352
Epoch 0 | Step 2000 | mse 0.75308 | aux 0.00000 | L0 32.0 | dead 0/20480 | fvu 0.2612
Epoch 0 | Step 2100 | mse 0.69149 | aux 0.00000 | L0 32.0 | dead 0/20480 | fvu 0.2438
Epoch 0 | Step 2200 | mse 0.65912 | aux 0.00000 | L0 32.0 | dead 0/20480 | fvu 0.2319
Epoch 0 | Step 2300 | mse 0.64313 | aux 0.00000 | L0 32.0 | dead 0/20480 | fvu 0.2303
Epoch 0 | Step 2400 | mse 0.72618 | aux 0.00000 | L0 32.0 | dead 0/20480 | fvu 0.2575
Epoch 0 | Step 2500 | mse 0.67804 | aux 0.00000 | L0 32.0 | dead 0/20480 | fvu 0.2485
Epoch 0 | Step 2600 | mse 0.64347 | aux 0.00000 | L0 32.0 | dead 0/20480 | fvu 0.2339
Epoch 0 | Step 2700 | mse 0.62340 | aux 0.00000 | L0 32.0 | dead 0/20480 | fvu 0.2266
Epoch 0 | Step 2800 | mse 0.70651 | aux 0.00000 | L0 32.0 | dead 0/20480 | fvu 0.2532
Epoch 0 | Step 2900 | mse 0.66132 | aux 0.00000 | L0 32.0 | dead 0/20480 | fvu 0.2340
Epoch 0 | Step 3000 | mse 0.63432 | aux 0.00000 | L0 32.0 | dead 0/20480 | fvu 0.2180
Epoch 0 | Step 3100 | mse 0.87352 | aux 0.00000 | L0 32.0 | dead 0/20480 | fvu 0.3088
Epoch 0 | Step 3200 | mse 0.69059 | aux 0.00000 | L0 32.0 | dead 0/20480 | fvu 0.2381
Epoch 0 | Step 3300 | mse 0.63857 | aux 0.00000 | L0 32.0 | dead 0/20480 | fvu 0.2245
Epoch 0 | Step 3400 | mse 0.62553 | aux 0.00000 | L0 32.0 | dead 0/20480 | fvu 0.2215
Epoch 0 | Step 3500 | mse 0.80675 | aux 0.00000 | L0 32.0 | dead 0/20480 | fvu 0.2848
Epoch 0 | Step 3600 | mse 0.66862 | aux 0.00000 | L0 32.0 | dead 0/20480 | fvu 0.2390
Epoch 0 | Step 3700 | mse 0.63649 | aux 0.00000 | L0 32.0 | dead 0/20480 | fvu 0.2334
Epoch 0 | Step 3800 | mse 0.60964 | aux 0.00000 | L0 32.0 | dead 0/20480 | fvu 0.2184
Epoch 0 | Step 3900 | mse 0.78111 | aux 0.00000 | L0 32.0 | dead 0/20480 | fvu 0.2794
Epoch 0 | Step 4000 | mse 0.67210 | aux 0.67210 | L0 32.0 | dead 2/20480 | fvu 0.2354
Epoch 0 | Step 4100 | mse 0.63225 | aux 0.63223 | L0 32.0 | dead 13/20480 | fvu 0.2257
Epoch 0 | Step 4200 | mse 0.61134 | aux 0.61132 | L0 32.0 | dead 16/20480 | fvu 0.2187
Epoch 0 | Step 4300 | mse 0.73856 | aux 0.73852 | L0 32.0 | dead 13/20480 | fvu 0.2637
Epoch 0 | Step 4400 | mse 0.64802 | aux 0.64798 | L0 32.0 | dead 31/20480 | fvu 0.2321
Epoch 0 | Step 4500 | mse 0.61623 | aux 0.61614 | L0 32.0 | dead 76/20480 | fvu 0.2169
